year,name,code,pp_result,fix,pay,prize,paper,graduate,open,protect,compete,fluid,manage,guest,raise,proj,fund
1994,农业部,4,0.008755093,166,8367,10,267,41,0.986858472,0.026033662,0.7563505,3.698795181,1.000717618,614,8361,205,5883
1994,卫生部,5,0.014536636,256,12952,17,420,60,1.102478437,0.467520783,0.593322375,9.6171875,1.036242899,2462,12499,213,10853
1994,中国科学院,6,0.041834373,771,58821,35,1878,215,0.862823075,0.2229215,0.385380382,2.360570687,0.952597655,1820,61748,745,37174
1995,合计,1,0.349332399,4388,320667,336,11474,2366,0.760802203,0.179167364,0.388776582,3.866226071,0.955062471,16965,335755,5233,275870
1995,国家教委,2,0.155164898,2124,147187,119,6128,1372,2.173340467,0.035944941,1,4.877118644,0.957301368,10359,153752,2829,139733
1995,国家卫生健康委员会,3,0.002287736,71,4850,3,80,6,0.902591785,0.183515937,0.380372456,0.774647887,0.745236632,55,6508,66,4993
1995,农业部,4,0.005831298,175,10736,5,253,41,1.151800518,0.021889074,0.7563505,2.091428571,0.961059887,366,11171,216,7190
1995,卫生部,5,0.014030608,280,17380,16,350,91,1.355777394,0.119764902,0.593322375,5.946428571,0.961495906,1665,18076,225,14412
1995,中国科学院,6,0.090698004,1153,100497,86,3431,468,1.071500882,0.194620608,0.385380382,2.666088465,0.978997204,3074,102653,1217,69539
1996,合计,1,0.360170414,4300,418664,373,10155,2478,0.711600065,0.166768271,0.388776582,4.132093023,0.958976027,17768,436574,5061,351807
1996,国家教委,2,0.189390882,2060,186691,185,5465,1529,2.051278761,0.030387679,1,4.67184466,0.931805704,9624,200354,2669,169227
1996,国家卫生健康委员会,3,0.002707617,68,5064,4,75,2,0.844503005,0.170803325,0.380372456,0.808823529,1.278787879,55,3960,40,1830
1996,农业部,4,0.006405718,143,13231,7,205,37,1.075675858,0.018773847,0.7563505,5.048951049,0.991829085,722,13340,207,9654
1996,卫生部,5,0.018870516,297,30626,24,375,97,1.331172592,0.137740381,0.593322375,8.727272727,0.971082504,2592,31538,267,25822
1996,中国科学院,6,0.073327114,1196,114739,66,2900,415,0.996161261,0.190794474,0.385380382,2.955685619,0.968711216,3535,118445,1214,79526
1997,合计,1,0.373851869,4340,568258,347,12221,2862,1.362388209,0.03035949,1,3.371658986,0.956336471,14633,594203,5871,489643
1997,教育部,7,0.196233291,2128,280470,169,6540,1777,0.639731183,0.090969925,0.380372456,3.254229323,0.938704884,6925,298784,3183,260317
1997,国家卫生健康委员会,3,0.004837455,69,7162,7,99,12,0.563658033,0.087371372,0.388776582,1.043478261,1.021829077,72,7009,62,4669
1997,农业部,4,0.007917048,152,16230,6,301,88,0.724145602,0.018489882,0.7563505,6.032894737,0.959787108,917,16910,238,12078
1997,卫生部,5,0.015625961,280,25512,18,418,84,0.991380063,0.021742787,0.593322375,8.278571429,0.994271016,2318,25659,258,20420
1997,中国科学院,6,0.078483859,1136,135497,66,3310,472,0.728756165,0.096299269,0.385380382,3.024647887,0.965009615,3436,140410,1350,96091
1998,合计,1,0.373851869,4340,568258,347,12221,2862,1.212825446,0.03926604,1,3.371658986,0.956336471,14633,594203,5871,489643
1998,教育部,7,0.196233291,2128,280470,169,6540,1777,0.616338012,0.022144655,0.380372456,3.254229323,0.938704884,6925,298784,3183,260317
1998,国家卫生健康委员会,3,0.004837455,69,7162,7,99,12,0.554306814,0.021575758,0.388776582,1.043478261,1.021829077,72,7009,62,4669
1998,农业部,4,0.007917048,152,16230,6,301,88,0.644708336,0.026197384,0.7563505,6.032894737,0.959787108,917,16910,238,12078
1998,卫生部,5,0.015625961,280,25512,18,418,84,0.955316176,0.020074329,0.593322375,8.278571429,0.994271016,2318,25659,258,20420
1998,中国科学院,6,0.078483859,1136,135497,66,3310,472,0.692250973,0.02286567,0.385380382,3.024647887,0.965009615,3436,140410,1350,96091
